gen	name	category	type	description
gen6	Aromatic Mist	Fairy	status	Raises Special Defense of an ally.
gen6	Baby-Doll Eyes	Fairy	status	Always goes first. Lowers the target's attack.
gen6	Belch	Poison	special	User must have consumed a Berry.
gen6	Boomburst	Normal	special	Hits all adjacent Pokémon.
gen6	Celebrate	Normal	status	The Pokémon congratulates you on your special day. No battle effect.
gen6	Confide	Normal	status	Lowers opponent's Special Attack.
gen6	Crafty Shield	Fairy	status	Protects the Pokémon from status moves.
gen6	Dazzling Gleam	Fairy	special	Hits all adjacent opponents.
gen6	Diamond Storm	Rock	physical	May sharply raise user's Defense.
gen6	Disarming Voice	Fairy	special	Ignores Accuracy and Evasiveness.
gen6	Dragon Ascent	Flying	physical	Lowers user's Defense and Special Defense.
gen6	Draining Kiss	Fairy	special	User recovers most the HP inflicted on opponent.
gen6	Eerie Impulse	Electric	status	Sharply lowers opponent's Special Attack.
gen6	Electric Terrain	Electric	status	Prevents all Pokémon from falling asleep for 5 turns.
gen6	Electrify	Electric	status	Changes the target's move to Electric type.
gen6	Fairy Lock	Fairy	status	Prevents fleeing in the next turn.
gen6	Fairy Wind	Fairy	special	
gen6	Fell Stinger	Bug	physical	Drastically raises user's Attack if target is KO'd.
gen6	Flower Shield	Fairy	status	Sharply raises Defense of all Grass-type Pokémon on the field.
gen6	Flying Press	Fighting	physical	Deals Fighting and Flying type damage.
gen6	Forest's Curse	Grass	status	Adds Grass type to opponent.
gen6	Freeze-Dry	Ice	special	May freeze opponent. Super-effective against Water types.
gen6	Geomancy	Fairy	status	Charges on first turn, sharply raises user's Sp. Attack, Sp. Defense and Speed on the second.
gen6	Grassy Terrain	Grass	status	Restores a little HP of all Pokémon for 5 turns.
gen6	Happy Hour	Normal	status	Doubles prize money from trainer battles.
gen6	Hold Back	Normal	physical	Always leaves opponent with at least 1 HP.
gen6	Hold Hands	Normal	status	Makes the user and an ally very happy.
gen6	Hyperspace Fury	Dark	physical	Lowers user's Defense. Can strike through Protect/Detect.
gen6	Hyperspace Hole	Psychic	special	Can strike through Protect/Detect.
gen6	Infestation	Bug	special	Traps opponent, damaging them for 4-5 turns.
