Attack Type	Description
physical	"Lowers user's Defense and Special Defense."
physical	"Drastically raises user's Attack if target is KO'd."
physical	"Deals Fighting and Flying type damage."
physical	"Always leaves opponent with at least 1 HP."
physical	"Lowers user's Defense. Can strike through Protect/Detect."
physical	""
physical	"Paralyzes opponent."
physical	"Hits all adjacent Pokémon."
physical	"Disappears on first turn, attacks on second. Can strike through Protect/Detect."
physical	"May lower opponent's Attack."
physical	"Raises Attack."
physical	"Hits all adjacent opponents."
physical	"Makes Flying-type Pokémon vulnerable to Ground moves."
physical	"Opponent cannot flee or switch."
physical	"User attacks first."
physical	"The user entangles the target with its anchor chain while attacking. The target becomes unable to flee."
physical	"The user first heats up its beak, and then it attacks the target. Making direct contact with the Pokémon while it's heating up its beak results in a burn."
physical	"The user swings its body around violently to inflict damage on everything in its vicinity."
physical	"Pikachu-exclusive Z-Move."
physical	"Ignores opponent's stat changes."
physical	"Hits twice in one turn; may cause flinching."
physical	"The user uses its body like a hammer to attack the target and inflict damage."
physical	"The user strikes the target with a burning lash. This also lowers the target's Defense stat."
physical	"Although this move has great power, it only works the first turn the user is in battle."
physical	"May cause flinching."
physical	"The user fiercely attacks the target using its entire body."
physical	"The user swings and hits with its strong, heavy fist. It lowers the user's Speed, however."
physical	"Strikes opponent with leaves."
physical	"Mimikyu-exclusive Z-Move."
physical	"May lower opponent's Defense."
physical	"The user makes a lunge at the target, attacking with full force. This also lowers the target's Attack stat."
physical	"Incineroar-exclusive Z-Move."
physical	"Type matches Memory item held."
physical	"Changes Normal-type moves to Electric-type moves."
physical	"The user boasts its strength and attacks the target. The more the user's stats are raised, the greater the move's power."
physical	"The user bites the target with its psychic capabilities. This can also destroy Light Screen and Reflect."
physical	"Snorlax-exclusive Normal type Z-Move."
physical	"Drains HP from opponent each turn."
physical	"Solgaleo-exclusive Z-Move."
physical	"May lower opponent's Defense."
physical	"Decidueye-exclusive Z-Move."
physical	"Burns the opponent."
physical	"The user stabs the target with a sharp horn. This attack never misses."
physical	"Charges on first turn, attacks on second."
physical	"Marshadow-exclusive Z-Move."
physical	"The user hides in the target's shadow, steals the target's stat boosts, and then attacks."
physical	"Prevents the opponent from switching out."
physical	"Lycanroc-exclusive Z-Move."
physical	"Driven by frustration, the user attacks the target. If the user's previous move has failed, the power of this move doubles."
physical	"Ignores the target's ability."
physical	"Prevents use of sound moves for two turns."
physical	"Lowers opponent's Attack."
physical	"Power increases when player's bond is stronger."
physical	"May cause flinching."
physical	"Always results in a critical hit."
physical	"Hits 2-5 times in one turn."
physical	"User takes damage for two turns then strikes back double."
physical	"Traps opponent, damaging them for 4-5 turns."
physical	"May cause flinching."
physical	"May paralyze opponent."
physical	"May cause flinching."
physical	"Hits twice in one turn."
physical	"Traps opponent, damaging them for 4-5 turns."
physical	"Hits 2-5 times in one turn."
physical	"May lower opponent's Speed by one stage."
physical	"When hit by a Physical Attack, user strikes back with 2x power."
physical	"High critical hit ratio."
physical	""
physical	"Digs underground on first turn, attacks on second. Can also escape from caves."
physical	"May confuse opponent."
physical	"Hits twice in one turn."
physical	"Hits 2-5 times in one turn."
physical	"User receives recoil damage."
physical	""
physical	"Power is doubled if opponent is underground from using Dig."
physical	""
physical	"User faints."
physical	"May burn opponent."
physical	"One-Hit-KO, if it hits."
physical	"Flies up on first turn, attacks on second turn."
physical	"Hits 2-5 times in one turn."
physical	"Hits 2-5 times in one turn."
physical	"One-Hit-KO, if it hits."
physical	"May cause flinching."
physical	"If it misses, the user loses half their HP."
physical	""
physical	"One-Hit-KO, if it hits."
physical	"May cause flinching."
physical	"May freeze opponent."
physical	"If it misses, the user loses half their HP."
physical	"High critical hit ratio."
physical	"User recovers half the HP inflicted on opponent."
physical	"May paralyze opponent."
physical	"The heavier the opponent, the stronger the attack."
physical	""
physical	""
physical	"Money is earned after the battle."
physical	""
physical	"Hits 2-5 times in one turn."
physical	"May poison the opponent."
physical	""
physical	"User attacks first."
physical	"Raises user's Attack when hit."
physical	"High critical hit ratio."
physical	"May cause flinching."
physical	""
physical	"May cause flinching."
physical	""
physical	"Inflicts damage equal to user's level."
physical	"User faints."
physical	"Raises Defense on first turn, attacks on second."
physical	"Charges on first turn, attacks on second. May cause flinching. High critical hit ratio."
physical	""
physical	"High critical hit ratio."
physical	"Hits 2-5 times in one turn."
physical	"May cause flinching."
physical	""
physical	"Only usable when all PP are gone. Hurts the user."
physical	"User receives recoil damage."
physical	"Always takes off half of the opponent's HP."
physical	""
physical	"User receives recoil damage."
physical	"User attacks for 2-3 turns but then becomes confused."
physical	"May paralyze opponent."
physical	"Hits twice in one turn. May poison opponent."
physical	""
physical	""
physical	"May cause flinching."
physical	""
physical	"Traps opponent, damaging them for 4-5 turns."
physical	"Each Pokémon in user's party attacks."
physical	"Hits 2-5 times in one turn."
physical	"High critical hit ratio."
physical	"May lower opponent's Defense."
physical	"Confuses opponent."
physical	"User attacks first."
physical	"Always leaves opponent with at least 1 HP."
physical	"Ignores Accuracy and Evasiveness."
physical	"The lower the user's HP, the higher the power."
physical	"May burn opponent."
physical	"Power decreases with higher Friendship."
physical	"Power increases each turn."
physical	"May lower opponent's Defense."
physical	"User attacks first."
physical	"Hits with random power."
physical	""
physical	"May raise user's Attack."
physical	"User attacks for 2-3 turns but then becomes confused."
physical	"Either deals damage or heals."
physical	"Double power if the opponent is switching out."
